"uri","label"
NULL,"african soil information service; afrotropics; clay mineralogy; climate change; mean c age; radiocarbon; subtropical"
NULL,"mean c age"
NULL,"african soil information service"
NULL,"afrotropics"
NULL,"africa south of the sahara"
NULL,"neon"
NULL,"siberia"
NULL,"fractionation"
NULL,"budgets"
NULL,"lena-delta"
NULL,"residence time"
NULL,"landscape"
NULL,"delta"
NULL,"site"
NULL,"storage"
NULL,"dewey decimal classification::500 | naturwissenschaften::550 | geowissenschaften"
NULL,"soil archives"
NULL,"ddc:631.41"
NULL,"ddc:551.9"
NULL,"ddc:550.724"
NULL,"soil carbon modeling"
NULL,"congo"
NULL,"meteorology & atmospheric sciences"
NULL,"deforestation"
NULL,"particulate organic carbon"
NULL,"permafrost thaw"
NULL,"551"
NULL,"py-gc/ms"
NULL,"articles"
NULL,"mineral-associated organic matter"
NULL,"radiocarbon; soil organic matter; mineral-associated organic matter; py-gc/ms; soil minerals"
NULL,"one-pool model"
NULL,"ozone"
NULL,"advanced oxidation processes"
NULL,"peroxone"
NULL,"electrochemical treatment"
NULL,"process integration"
NULL,"terrestrisch"
NULL,"bodensystematische-einheit"
NULL,"substratsystematische-einheit"
NULL,"bodenform"
NULL,"soc stocks"
NULL,"augsnes-karte"
NULL,"in-situ analysis"
NULL,"field analysis"
NULL,"p33 - chimie et physique du sol"
"http://aims.fao.org/aos/agrovoc/c_1374571087594",NULL
NULL,"p40 - météorologie et climatologie"
NULL,"émission de gaz"
NULL,"terre agricole"
NULL,"coût marginal"
"http://aims.fao.org/aos/agrovoc/c_331597",NULL
"http://aims.fao.org/aos/agrovoc/c_28725",NULL
"http://aims.fao.org/aos/agrovoc/c_0d4560a5",NULL
"http://aims.fao.org/aos/agrovoc/c_2808",NULL
NULL,"réduction des émissions"
NULL,"gaz à effet de serre"
"http://aims.fao.org/aos/agrovoc/c_34841",NULL
NULL,"atténuation des effets du changement climatique"
NULL,"dmp"
NULL,"data management plan"
NULL,"late-frost leaf damage"
NULL,"fagus sylvatica"
NULL,"bomb-radiocarbon (c-14)"
NULL,"nonstructural carbon"
NULL,"bomb-radiocarbon (14c)"
NULL,"freezing"
NULL,"fagus"
NULL,"resilience"
NULL,"biogeochemistry; land-use; soil organic matter; clay mineralogy; pedogenic threshold"
NULL,"environmental degradation"
NULL,"pedogenic threshold"
NULL,"soil analysis"
NULL,"som, c sequestration, soil enzyme activity, radiocarbon, climosequence, decomposition, climate change, forest soil, soil biology"
NULL,"long-term ecological research"
NULL,"soil chronosequence"
NULL,"model–data integration"
NULL,"soil carbon stabilization"
NULL,"wetland carbon"
NULL,"root traits"
NULL,"soil database"
NULL,"d6.12"
NULL,"protocol"
NULL,"meteorology & atmospheric sciences (science-metrix)"
NULL,"bacillus"
NULL,"agricultural and biological sciences"
"https://purl.org/becyt/ford/1.6",NULL
NULL,"gc-content"
NULL,"genome"
NULL,"acinetobacter"
NULL,"soil bacteria"
NULL,"probiotics and prebiotics"
NULL,"anti-bacterial agents"
NULL,"ribosomal rna"
NULL,"microbial genetics"
NULL,"metagenomics assembly"
NULL,"bacteriocin"
NULL,"."
NULL,"synteny"
NULL,"applied microbiology"
NULL,"lipopeptides"
NULL,"biochemistry, genetics and molecular biology"
NULL,"escherichia coli"
NULL,"rna sequencing data analysis"
"https://purl.org/becyt/ford/1",NULL
NULL,"molecular biology"
NULL,"genetic engineering"
NULL,"secondary metabolites"
NULL,"in silico"
NULL,"bacterial genomes"
NULL,"whole genome sequencing"
NULL,"microbial enzymes and biotechnological applications"
NULL,"antibacterial activity"
NULL,"genome, bacterial"
NULL,"food science"
NULL,"phylogenetic tree"
NULL,"3709 physical geography and environmental geoscience (for-2020)"
NULL,"activities"
NULL,"d7.8"
NULL,"gantt"
NULL,"13 climate action (sdg)"
NULL,"lipid metabolism"
NULL,"13c of respired co2"
NULL,"non-structural carbon"
NULL,"d7.11"
NULL,"sustainability"
NULL,"deoleo"
NULL,"report"
NULL,"carbon allocation"
NULL,"co2 efflux"
NULL,"bomb radiocarbon 14c"
NULL,"o2 influx"
NULL,"tree girdling"
NULL,"d6.4"
NULL,"digital twin"
NULL,"nematoda"
NULL,"18s-"
NULL,"dorylaimida"
NULL,"belondiroidea"
NULL,"biota"
NULL,"new taxa"
NULL,"enoplea"
NULL,"taxonomy"
NULL,"28s-rdna"
NULL,"morphology"
NULL,"sem"
NULL,"animalia"
NULL,"dorylaimia"
NULL,"belondiridae"
NULL,"dorylaimina"
NULL,"research paper"
NULL,"permafrost"
NULL,"geof"
NULL,"[sdu.stu.gc]sciences of the universe [physics]/earth sciences/geochemistry"
NULL,"xrf"
NULL,"d7.5"
NULL,"mycorrhizal fungi and plant interactions"
NULL,"monoculture"
NULL,"forest floor"
NULL,"saproxylic insect ecology and forest management"
NULL,"beech"
NULL,"picea abies"
NULL,"botany"
NULL,"agronomy"
NULL,"insect science"
NULL,"soil carbon dynamics and nutrient cycling in ecosystems"
NULL,"nutrient"
NULL,"linear mixed model"
NULL,"global"
NULL,"quantitative biology - quantitative methods"
NULL,"mineral soil"
NULL,"quantitative methods (q-bio.qm)"
NULL,"diversity"
NULL,"common garden experiment"
NULL,"soil meso- and macrofauna"
NULL,"taxonomic group"
NULL,"abundance"
NULL,"functional group"
NULL,"populations and evolution (q-bio.pe)"
NULL,"quantitative biology - populations and evolution"
NULL,"lignocellulolytic enzyme"
NULL,"litter decomposition"
NULL,"alpine treeline ecotone"
NULL,"microbial community"
NULL,"soil biology"
NULL,"symbiosis"
NULL,"plant interactions"
NULL,"amplicon sequencing"
NULL,"ectomycorrhiza"
NULL,"functional groups"
NULL,"community cohesion"
NULL,"trophic interactions"
NULL,"biodiversity conservation and ecosystem management"
NULL,"litter"
NULL,"wood decomposition"
NULL,"nature and landscape conservation"
NULL,"fauna"
NULL,"common garden"
NULL,"litterbag mesh size"
NULL,"genomic insights into social insects and symbiosis"
NULL,"ecological niche"
NULL,"species distribution modeling and climate change impacts"
NULL,"ecological modeling"
NULL,"plant-parasitic nematodes in molecular plant pathology"
NULL,"detritus"
NULL,"detritivore"
NULL,"species richness"
NULL,"tropical forests"
NULL,"ecological succession"
NULL,"rare bacteria and fungi"
NULL,"slash-and-burn"
NULL,"efficiency"
NULL,"genetic resilience"
NULL,"impact"
NULL,"/dk/atira/pure/subjectarea/asjc/1100/1110"
NULL,"future"
NULL,"manganese deficiency"
NULL,"barley landraces"
NULL,"hordeum"
NULL,"landraces"
NULL,"adaptation, physiological"
NULL,"cultivars"
NULL,"plant breeding"
NULL,"marginal soil"
NULL,"name=plant science"
NULL,"local adaptation"
NULL,"soil food web"
NULL,"soil pores; soil microhabitat; microbiota; mesofauna; soil food web; matric potential"
NULL,"acanthamoeba castellanii"
NULL,"fatty-acid analysis"
NULL,"500 naturwissenschaften und mathematik::570 biowissenschaften; biologie::570 biowissenschaften; biologie"
NULL,"bacterial community"
NULL,"stabilization"
NULL,"egdi"
NULL,"surface geology"
NULL,"geo-harmonizer"
NULL,"loss- on-ignition"
NULL,"loss-on-ignition"
NULL,"humification"
NULL,"analytics"
NULL,"soil security"
NULL,"informatics"
NULL,"sustainable development"
NULL,"supplementary data"
NULL,"general"
NULL,"sdg 15 - life on land"
NULL,"abiotic properties"
NULL,"beta diversity"
NULL,"alpha diversity"
NULL,"laboratory method"
NULL,"shortwave infrared reflectance"
NULL,"optical proximal sensing"
NULL,"artificial intelligence"
NULL,"consciousness"
NULL,"climate crisis"
NULL,"random forest"
NULL,"soil monitoring law, soc/clay ratio, cropland, ndvi, satellite data, national soil monitoring"
NULL,"lakes"
NULL,"remote sensing technology"
NULL,"bloom occurrence; floating algae index; lakes; maximum bloom extent; nutrients; sentinel 2"
NULL,"eutrophication"
NULL,"carbon fraction"
NULL,"multi-target prediction"
NULL,"regressor chain"
NULL,"rapportage"
NULL,"gis sol"
NULL,"rayonnement international"
NULL,"live cribb walls; probabilistic analysis; stability"
NULL,"probabilistic, stability, vegetative crib walls"
NULL,"sorbents"
NULL,"biodegradable plastics"
NULL,"vpvm"
NULL,"trifluoroacetic acid"
NULL,"trifluoroacetic acid; multigenerational exposure; pfas; pmt; vpvm; environmental monitoring"
NULL,"environmental pollutants"
NULL,"pmt"
NULL,"multigenerational exposure"
NULL,"geotechnical engineering; bio-geotechnics; slope stability; soil and water bioengineering; nature-based solutions; statistics"
NULL,"soil deal for europe"
NULL,"microbial ecology"
NULL,"produits antiparasitaires"
NULL,"écotoxicologie"
NULL,"microbien écotoxicologie"
NULL,"glyphosate"
NULL,"mycorrhizae"
NULL,"toxicity tests"
NULL,"glycine"
NULL,"pyrroles"
NULL,"dioxoles"
NULL,"glomeromycota"
NULL,"540 chemistry"
NULL,"structural alerts"
NULL,"nitrifiers"
NULL,"neural networks, computer"
NULL,"graph neural networks"
NULL,"interpretability"
NULL,"toxicity screening"
NULL,"10120 department of chemistry"
NULL,"biodegradation database"
NULL,"information technology"
NULL,"t58.5-58.64"
NULL,"1704 computer graphics and computer-aided design"
NULL,"metabolic pathways"
NULL,"1706 computer science applications"
NULL,"biodegradation pathway prediction"
NULL,"3309 library and information sciences"
NULL,"1606 physical and theoretical chemistry"
NULL,"biological products"
NULL,"xxxxxx - unknown"
NULL,"spores, fungal"
NULL,"high-throughput screening assays"
NULL,"fungicides, industrial"
NULL,"statistics and probability"
NULL,"1303 biochemistry"
NULL,"computer science applications"
NULL,"computational mathematics"
NULL,"computational theory and mathematics"
NULL,"1312 molecular biology"
NULL,"2613 statistics and probability"
NULL,"2605 computational mathematics"
NULL,"biotransformation"
NULL,"1703 computational theory and mathematics"
NULL,"hymexazol"
NULL,"ammonia-oxidizing microorganism"
NULL,"microbial interactions"
NULL,"ecotoxicity"
NULL,"nitrite-oxidizing bacteria"
NULL,"ammonia-oxidizing archaea"
NULL,"ammonia-oxidizing bacteria"
NULL,"singe species in vitro tests"
NULL,"magnoliopsida"
NULL,"critical reviews"
NULL,"fungicide"
NULL,"protists"
NULL,"ecotoxicity pesticide regulatory framework pesticides risk assessment soil microorganism"
NULL,"pesticide regulatory framework"
NULL,"nematode abundance"
NULL,"sequential mixture"
NULL,"ecotoxicological impact"
NULL,"micrometeorological method"
NULL,"nitrogen use efficiency"
NULL,"corn-soybean rotation"
NULL,"time factors"
NULL,"spatiotemporal"
NULL,"data mining and machine learning"
NULL,"urbanization"
NULL,"spatial analysis"
NULL,"big data"
NULL,"landsat"
NULL,"ensemble"
NULL,"land use/land cover"
NULL,"probability"
NULL,"domain adaptation"
NULL,"computer engineering. computer hardware"
NULL,"attention mechanism"
NULL,"qa75.5-76.95"
NULL,"tk7885-7895"
NULL,"encoder–decoder architecture"
NULL,"electronic computers. computer science"
NULL,"applied optics. photonics"
NULL,"ta1501-1820"
NULL,"agricultural water management; decision support system; soil moisture; ec; smart sensor; internet of things; remote sensing"
NULL,"ensemble machine learning"
NULL,"potato crops"
NULL,"agro-ecological"
NULL,"common agricultural policy; environmental policy; nutrient losses; soil organisms; agricultural practices; sustainability; european union"
NULL,"2511.08 mecánica de suelos (agricultura)"
NULL,"3. garantizar una vida sana y promover el bienestar de todos a todas las edades"
NULL,"geologic sediments"
NULL,"25 ciencias de la tierra y del espacio::2503 geoquímica"
NULL,"6. garantizar la disponibilidad y la gestión sostenible del agua y el saneamiento para todos"
NULL,"multi-model approach"
NULL,"wind"
NULL,"sediment"
NULL,"gully"
NULL,"modelling; multi-model approach; water; wind; gully; tillage; crop harvesting"
NULL,"multi-modelski pristop"
NULL,"veter"
NULL,"pobiranje pridelka"
NULL,"4104 environmental management"
NULL,"4105 pollution and contamination"
NULL,"european-union"
NULL,"modeliranje"
NULL,"jarkovna erozija"
NULL,"agricultural soil-erosion"
NULL,"water erosion"
NULL,"crop harvesting"
NULL,"voda"
NULL,"erozija zaradi obdelave tal"
NULL,"wind erosion"
NULL,"computer simulation"
NULL,"geomorphometry"
NULL,"digital terrain model"
NULL,"efectos del cambio climático"
NULL,"modelización"
NULL,"modelos de equilibrio general computable"
NULL,"huella ecológica"
NULL,"productividad de la tierra"
NULL,"denmark"
NULL,"framework"
"https://ars.els-cdn.com/content/image/1-s2.0-S030147972403127X-mmc1.docx",NULL
NULL,"threshold"
NULL,"ge"
NULL,"targets"
NULL,"thresholds"
NULL,"ge environmental sciences"
NULL,"nature-based solutions monitoring"
NULL,"soil health monitoring"
NULL,"ecosystem resilience"
NULL,"nature-based solutions"
NULL,"ecosystem multifunctionality"
NULL,"reference data"
NULL,"mission soil"
NULL,"degradation; europe; mission soil; quality; soil health; soil monitoring law"
NULL,"soil monitoring law"
NULL,"k factor; random forest; soil hydraulic properties; soil texture; tropical regions; usle"
NULL,"drought recovery"
NULL,"drought termination"
NULL,"meteorological drought"
NULL,"degradation (telecommunications)"
NULL,"environmental protection"
NULL,"arable land"
NULL,"global and planetary change"
NULL,"global analysis of ecosystem services and land use"
NULL,"geography"
NULL,"computer science"
NULL,"soil erosion and agricultural sustainability"
NULL,"land tenure and property rights in agriculture"
NULL,"threatened species"
NULL,"archaeology"
NULL,"telecommunications"
NULL,"earth system model"
NULL,"dtm"
NULL,"ai"
NULL,"open data"
NULL,"data cube"
NULL,"model interpretability"
NULL,"data transformation"
NULL,"spatio-temporal analysis"
NULL,"shapley value"
NULL,"packing density; soil physics; texture; soil health; lucas; soil compaction"
NULL,"granular media"
NULL,"packing"
NULL,"shape"
NULL,"countryside survey"
NULL,"function"
NULL,"erammp"
NULL,"stratification"
NULL,"stratified random"
NULL,"spectrum analysis"
NULL,"calibration"
NULL,"algorithms"
NULL,"nature‐based solutions"
NULL,"ecological monitoring"
NULL,"biowissenschaften; biologie"
NULL,"arable"
NULL,"physics-constrained machine learning"
NULL,"physics‐constrained machine learning"
NULL,"continuous pedotransfer functions"
NULL,"land degradation; soil health; soil mission; soil monitoring law"
NULL,"european soil monitoring and resilience law"
NULL,"soil monitoring units"
NULL,"soil districts"
NULL,"lst hotspots"
NULL,"maximum land surface temperature (lst)"
NULL,"ddc:551.5"
NULL,"land conditions"
NULL,"downscaling"
NULL,"fusion data"
NULL,"high-resolution maps"
NULL,"multidisciplinary sciences"
NULL,"science & technology - other topics"
NULL,"gcb review"
NULL,"synergy"
NULL,"trade‐off"
NULL,"trade‐off; water"
NULL,"food supply"
NULL,"water supply"
NULL,"human health and well-being"
NULL,"human health and well‐being"
NULL,"ipbes"
NULL,"nexus"
NULL,"soil samples"
NULL,"heatwave"
NULL,"groundwater"
NULL,"land-atmosphere interaction"
NULL,"models, statistical"
NULL,"euroglobalmap"
NULL,"worldcover"
NULL,"land mask"
NULL,"pan europe"
NULL,"nuts3"
NULL,"iso-3166"
NULL,"earth obeservation"
NULL,"pedo-climate zones"
NULL,"agricultural science"
NULL,"fertilizing practices"
NULL,"mediterranean region"
NULL,"ambrosia artemisiifolia biological invasions classical biological control common ragweed herbivory ophraella communa"
NULL,"soil, trichoderma, invasion, microbial community, bioinoculants, t22"
NULL,"biopesticides"
NULL,"soil, detection, microbial inoculants, bacteria, fungi, biofertilisers, biopesticides, microorganisms"
NULL,"detection"
NULL,"biofertilisers"
NULL,"fungi"
NULL,"microbial inoculants"
NULL,"soil, biofertiliser, trichoderma, biodiversity, impact"
NULL,"public perception"
NULL,"weed control"
NULL,"plant weeds"
NULL,"attitude"
NULL,"europe weeds"
NULL,"ta218"
NULL,"herbivory"
NULL,"biological invasions"
NULL,"common ragweed"
NULL,"info:eu-repo/classification/udc/57"
NULL,"classical biological control"
NULL,"ambrosia artemisiifolia, biological invasions, classical biological control, common ragweed, herbivory, ophraella communa"
NULL,"ambrosia artemisiifolia; biological invasions; classical biological control; common ragweed; herbivory; ophraella communa;"
NULL,"ophraella communa"
NULL,"ambrosia artemisiifolia, biological invasions, classical biological control, common ragweed, herbivory, ophraella communa,"
NULL,"ambrosia artemisiifolia"
NULL,"rhinitis, allergic, seasonal"
NULL,"q1"
NULL,"coleoptera"
NULL,"biological control agents"
NULL,"public health"
NULL,"ambrosia"
NULL,"[sdv.sa.sta]life sciences [q-bio]/agricultural sciences/sciences and technics of agriculture"
NULL,"[sdv.sa.sta] life sciences [q-bio]/agricultural sciences/sciences and technics of agriculture"
NULL,"organic, agroecology"
NULL,"research infrastructures"
NULL,"agroecology, living lab"
NULL,"criteria"
NULL,"network"
NULL,"living lab"
NULL,"agroecology; agroforestry; policy development; food systems"
NULL,"agrecology initiatives"
NULL,"agroecoogy transition"
NULL,"on-farm, living lab, organic"
NULL,"agroecology transitiion"
NULL,"agroecological transition"
NULL,"real-life experimentation"
NULL,"facilitation techniques"
NULL,"agroecology, living labs, research infrastructures, mapping"
NULL,"added value"
NULL,"agroecology, dairy system"
NULL,"agroecology living lab"
NULL,"all-ready"
NULL,"network of living labs"
NULL,"coordination and support action"
NULL,"living lab, precision agriculture"
NULL,"fluvisols"
NULL,"hg bioaccumulation"
NULL,"15. proteger, restablecer y promover el uso sostenible de los ecosistemas terrestres, gestionar sosteniblemente los bosques, luchar contra la desertificación, detener e invertir la degradación de las tierras y detener la pérdida de biodiversidad"
NULL,"mercury"
NULL,"mercury pollution"
NULL,"river sediments"
NULL,"rivers"
NULL,"floodplains management"
NULL,"trap crop"
NULL,"nematicide"
NULL,"globodera spp."
NULL,"3101 agroquímica"
NULL,"no-host plant"
NULL,"solanum sisymbriifolium"
NULL,"trap crops"
NULL,"pest"
NULL,"wheat field"
NULL,"farming system"
NULL,"fungal diversity"
NULL,"molecular   characterization"
NULL,"molecular characterization"
NULL,"nematode communities"
NULL,"vacuum-filtration"
NULL,"zonal centrifugation"
NULL,"dna-extraction,   molecular   characterization,   nematode communities, soil, vacuum-filtration, zonal centrifugation."
NULL,"dna-extraction, molecular characterization, nematode communities, soil, vacuum-filtration, zonal centrifugation."
NULL,"crop mixtures"
NULL,"emerging contaminants"
NULL,"organic agriculture"
NULL,"pesticide residues"
NULL,"plant protection products (ppps)"
NULL,"2417 biología vegetal (botánica)"
NULL,"agroecology, organic"
NULL,"drivers of transition"
NULL,"agroecology, research infrastructure"
NULL,"open science"
NULL,"intellectual property rights"
NULL,"innovation management"
NULL,"new species"
NULL,"typhlocharis dieck"
NULL,"beetles"
NULL,"typhlocharis"
NULL,"endogean"
NULL,"carabidae"
NULL,"systematics"
NULL,"species complex"
NULL,"iberian peninsula"
NULL,"reproducibility of results"
NULL,"metabarcoding"
NULL,"dna barcoding, taxonomic"
NULL,"taxonomic inflation"
NULL,"arthropods"
NULL,"barcoding"
NULL,"island biogeography"
NULL,"original articles"
NULL,"dna"
NULL,"haplotypes"
NULL,"collembola"
NULL,"acari"
NULL,"genetic speciation"
NULL,"geographic speciation"
NULL,"density dependence"
NULL,"anillini"
NULL,"long‐distance dispersal (ldd)"
NULL,"microendemism"
NULL,"typhlocharina"
NULL,"s1"
NULL,"g1"
NULL,"l1"
NULL,"s589.75_agriculture"
NULL,"s900_conservation"
NULL,"forestry"
NULL,"/704/106/47/4113"
NULL,"carbon dynamics in peatland ecosystems"
NULL,"digital soil mapping techniques"
NULL,"carbon fibers"
NULL,"composite number"
NULL,"/704/106/694/682"
NULL,"/704/47/4113"
NULL,"engineering sciences. technology"
NULL,"composite material"
NULL,"/141"
NULL,"/704/106/694/1108"
NULL,"[sdu] sciences of the universe [physics]"
NULL,"global soil information"
NULL,"soil carbon sequestration"
NULL,"fos: environmental engineering"
NULL,"materials science"
NULL,"[sdu]sciences of the universe [physics]"
NULL,"/119"
NULL,"soil matrix"
NULL,"trophic cascades"
NULL,"ecosystem models"
NULL,"growth rates"
NULL,"ecosystem engineering"
NULL,"predator exclusion"
NULL,"info:eu-repo/classification/ddc/610"
NULL,"root system"
NULL,"talna biota"
NULL,"psd"
NULL,"general neuroscience"
NULL,"velikosti por"
NULL,"general medicine"
NULL,"2511 ciencias del suelo (edafología)"
NULL,"pedofavna"
NULL,"general agricultural and biological sciences"
NULL,"distribucija"
NULL,"genetics and molecular biology"
NULL,"hidrologija"
NULL,"info:eu-repo/classification/udc/630*1"
NULL,"ekosistem"
NULL,"general biochemistry"
NULL,"2508 hidrología"
NULL,"oxide thermoelectrics"
NULL,"composite camno 3-δ"
NULL,"ddc:540"
NULL,"heterostructuring"
NULL,"inverse distance weighting method"
NULL,"early neolithic"
NULL,"starčevo culture"
NULL,"local speeds"
NULL,"direction of the spread"
NULL,"cc1-960"
NULL,"sentinel 2"
NULL,"ql1-991"
NULL,"qk1-989"
NULL,"wing venation"
NULL,"590"
NULL,"ddc:590"
NULL,"cryptic species delimitation"
NULL,"hoverflies"
NULL,"r4 5 vein"
NULL,"zoology"
NULL,"life-history"
NULL,"diptera"
NULL,"functional classification"
NULL,"diptera syrphidae"
NULL,"pollinators"
NULL,"traits"
NULL,"ecology, evolutionary biology"
NULL,"functional classifcation"
NULL,"patterns"
NULL,"insects"
NULL,"syrphidae"
NULL,"communities"
NULL,"richness"
NULL,"sentinel-2, satellite imaging, topsoil texture, estimation"
NULL,"28s rrna gene"
NULL,"neotype"
NULL,"merodon chrysotrichos sp. nov."
NULL,"merodon chrysurus sp. nov."
NULL,"merodon solitarius sp. nov."
NULL,"distributional data"
NULL,"merodon triangulum sp. nov."
NULL,"merodon spinosus sp. nov."
NULL,"merodon confinium sp. nov."
NULL,"coi gene"
NULL,"new synonyms"
NULL,"merodon mishustini sp. nov."
NULL,"lectotype designation"
NULL,"merodon spineus sp. nov."
NULL,"merodon nitens sp. nov."
NULL,"larva"
NULL,"puparium"
NULL,"hoverfly"
NULL,"0103 physical sciences"
NULL,"physics - applied physics"
NULL,"applied physics (physics.app-ph)"
NULL,"physics - optics"
NULL,"optics (physics.optics)"
NULL,"patch resonator"
NULL,"ultra-wideband"
NULL,"bandpass filter"
NULL,"defected ground structure"
NULL,"grain yield productivity"
NULL,"grain yield"
NULL,"maize; grain yield productivity; genotype by environment interaction"
NULL,"genotype by environment interaction"
NULL,"maize"
NULL,"remote sensing, iot, greenhouse production"
NULL,"multispectral sensor"
NULL,"uav"
NULL,"vegetation indices"
NULL,"soybean"
NULL,"0102 computer and information sciences"
NULL,"peak shift"
NULL,"bit-shift channel"
NULL,"asymmetric distance"
NULL,"timing error"
NULL,"discrete mathematics (cs.dm)"
NULL,"constant-weight code"
NULL,"computer science - information theory"
NULL,"information theory (cs.it)"
NULL,"manhattan metric"
NULL,"94b25, 94b50, 94b65, 94a55"
NULL,"runlength-limited sequence"
NULL,"constrained code"
NULL,"computer science - discrete mathematics"
NULL,"centralised occurrence records"
NULL,"pollination"
NULL,"expert knowledge"
NULL,"country records"
NULL,"anthophila; apoidea; centralised occurrence records; country records; diptera; expert knowledge; hymenoptera; pollination; species checklists; syrphidae"
NULL,"apoidea"
NULL,"hymenoptera"
NULL,"anthophila"
NULL,"species checklists"
NULL,"uav imagery"
NULL,"fft"
NULL,"seeding quality"
NULL,"vibration analysis"
NULL,"mycotoxin, graphene, gfet, biosensor"
NULL,"0104 chemical sciences"
NULL,"molassigenic metal ions"
NULL,"sugar beet pulp"
NULL,"alkalized juice"
NULL,"two-photon polymerization"
NULL,"nanowires"
NULL,"bovine serum albumin"
NULL,"communication"
NULL,"filament propagation"
NULL,"graphene oxide"
NULL,"mechanical properties"
NULL,"process-based model"
NULL,"recursive neural network"
NULL,"kalman filter"
NULL,"paragus longipilus sp. nov"
NULL,"new synonym"
NULL,"insecta"
NULL,"arthropoda"
NULL,"paragus megacercus sp. nov"
NULL,"afrotropical region"
NULL,"endemism"
NULL,"gmo"
NULL,"lamp"
NULL,"condensed matter - materials science"
NULL,"materials science (cond-mat.mtrl-sci)"
NULL,"nue"
NULL,"design of experiment (doe)"
NULL,"yield response"
NULL,"nitrogen fertilization"
NULL,"nitrogen fertilization; yield response; design of experiment (doe); nue"
NULL,"dna sensors"
NULL,"gmo detection"
NULL,"gmo detection signal"
NULL,"ti3c2tx"
NULL,"hydrochlorothiazide"
NULL,"mxenes"
NULL,"selecting thresholds"
NULL,"global warming"
NULL,"aquatic ecosystems"
NULL,"conservation"
NULL,"distribution models"
NULL,"extinction risk"
NULL,"conservation · global warming · insects · endemism · species distribution modelling"
NULL,"environmental-change"
NULL,"species distribution modelling"
NULL,"geographic distributions"
NULL,"landscape structure"
NULL,"agricultural intensification"
NULL,"balkan peninsula"
NULL,"single phase"
NULL,"β-blockers"
NULL,"breath vocs food impact"
NULL,"cell survival"
NULL,"antineoplastic agents"
NULL,"antioxidants"
NULL,"hemolymph"
NULL,"cell line, tumor"
NULL,"insect proteins"
NULL,"lipid peroxidation"
NULL,"tenebrio"
NULL,"land cover mapping, sentinel-2"
NULL,"spoof surface plasmon polariton (sspp)"
NULL,"edible oils"
NULL,"permittivity sensing"
NULL,"chemical technology"
NULL,"microwave sensor"
NULL,"tp1-1185"
NULL,"surface plasmon resonance"
NULL,"microwaves"
NULL,"biological physics"
NULL,"biological physics (physics.bio-ph)"
NULL,"applied physics"
NULL,"hyperspectral"
NULL,"infection detection"
NULL,"imaging"
NULL,"zoologie"
NULL,"ecology, evolution, behavior and systematics"
NULL,"image processing"
NULL,"tutorial"
NULL,"xanthogramma schiner"
NULL,"southeastern europe"
NULL,"zoología"
NULL,"molecular data"
NULL,"syrphids"
NULL,"merodon aureus lineage"
NULL,"ddc:590"
NULL,"egs, open grasslands, habitat, uav, hr images"
NULL,"principal component analysis"
NULL,"pattern recognition, automated"
NULL,"mtdna coi gene"
NULL,"geometric morphometrics"
NULL,"integrative taxonomy"
NULL,"spectral reflectance indices"
NULL,"phenotyping"
NULL,"tools"
NULL,"morpho-physiological traits"
NULL,"long‐term memory"
NULL,"photogating"
NULL,"field‐effect transistors"
NULL,"fluorescent protein"
NULL,"electric apparatus and materials. electric circuits. electric networks"
NULL,"tk452-454.4"
NULL,"single‐walled carbon nanotubes"
NULL,"unmanned aerial devices"
NULL,"sciuridae"
NULL,"serbia"
NULL,"lab-on-a-chip sensor"
NULL,"spectroscopic sensing"
NULL,"droplet-based microfluidics"
NULL,"tj1-1570"
NULL,"real-time"
NULL,"microfluidics device"
NULL,"mechanical engineering and machinery"
NULL,"interdigitated electrode"
NULL,"postharvest"
NULL,"tomato"
NULL,"insects; hemolymph proteins; native page; protein isolation; proteomics"
NULL,"trichoderma"
NULL,"isothermal amplification"
NULL,"agaricus"
NULL,"metal nanoparticles"
NULL,"molecular detection"
NULL,"molecular diagnostic techniques"
NULL,"[chim]chemical sciences"
NULL,"colorimetry"
NULL,"dna, fungal"
NULL,"nucleic acid amplification techniques"
NULL,"transglutaminase"
NULL,"shelf-life"
NULL,"chickpea protein"
NULL,"plant-based milk analogues"
NULL,"point-of-care testing"
NULL,"molecularly imprinted membranes"
NULL,"ion-sensitive field-effect transistor"
NULL,"biochemical sensors"
NULL,"all-solid-state"
NULL,"cyanobacteria toxins"
NULL,"aptamer"
NULL,"biosensing techniques"
NULL,"label-free biosensing"
NULL,"aptamers, nucleotide"
NULL,"cvd graphene; label-free biosensing; cyanotoxins; aptamer; surface plasmon resonance"
NULL,"alkaloids"
NULL,"cvd graphene"
NULL,"cyanotoxins"
NULL,"graphite"
NULL,"genotype"
NULL,"acclimatization"
NULL,"environmental index"
NULL,"models, biological"
NULL,"zea mays"
NULL,"model explanation"
NULL,"drought and heat stress"
NULL,"hybridization, genetic"
NULL,"heat-shock response"
NULL,"random forest regressor"
NULL,"orthomosaic"
NULL,"topography"
NULL,"remotesensing"
NULL,"wheat yield"
NULL,"drones; precision agriculture; image processing; machine learning"
NULL,"luminescence"
NULL,"powder processing"
NULL,"semiconductors"
NULL,"temperature sensing"
NULL,"nanocrystalline microstructure"
NULL,"spectral-phase interferometry"
NULL,"mycotoxins"
NULL,"cvd graphene; label-free biosensing; mycotoxins; aptamer; spectral-phase interferometry"
NULL,"application nanomaterials"
NULL,"uv degradation; pharmaceuticals; pindolol; application nanomaterials"
